Year,Gold,Silver,Silver_new
1981,1800,2715,27.15
1982,1654,2720,27.2
1983,1800,3105,31.05
1984,1970,3570,35.7
1985,2130,3955,39.55
1986,2140,4015,40.15
1987,2570,4794,47.94
1988,3130,6066,60.66
1989,3140,6755,67.55
1990,3200,6463,64.63
1991,3466,6646,66.46
1992,4334,8040,80.4
1993,4140,5489,54.89
1994,4598,7124,71.24
1995,4680,6335,63.35
1996,5160,7346,73.46
1997,4725,7345,73.45
1998,4045,8560,85.6
1999,4234,7615,76.15
2000,4400,7900,79
2001,4300,7215,72.15
2002,4990,7875,78.75
2003,5600,7695,76.95
2004,5850,11770,117.7
2005,7000,10675,106.75
2006,8400,17405,174.05
2007,10800,19520,195.2
2008,12500,23625,236.25
2009,14500,22165,221.65
2010,18500,27255,272.55
2011,26400,56900,569
2012,31050,56290,562.9
2013,29600,54030,540.3
2014,28006,43070,430.7
2015,26343,37825,378.25
2016,28623,36990,369.9
2017,29667,37825,378.25
2018,31438,41400,414
2019,35220,40600,406
2020,48651,63435,634.35
2021,50045,62572,625.72
2022,52290,55100,551
